LineID,SITE,YEAR,GR50,FL50,TC_EOS,HT_EOS,BIOMASS,Envi
291,BRKG,2016,118,217,119,192,0.99,BRKG_2016
294,BRKG,2016,118,207,120,149,0.7035,BRKG_2016
297,BRKG,2016,120.5,212.5,55.5,143,0.3515,BRKG_2016
298,BRKG,2016,NA,NA,NA,NA,NA,BRKG_2016
300,BRKG,2016,121,211,87,171,0.993,BRKG_2016
307,BRKG,2016,121,207,138,155.5,0.7595,BRKG_2016
323,BRKG,2016,122,207,85,149,0.587,BRKG_2016
388,BRKG,2016,117,207,35,171,0.659,BRKG_2016
18,BRKG,2016,122,207,105,143,0.846,BRKG_2016
23,BRKG,2016,117,NA,138,207,1.964,BRKG_2016
26,BRKG,2016,123,209,123,131,0.608,BRKG_2016
36,BRKG,2016,121,215,62,174,0.666,BRKG_2016
64,BRKG,2016,117,207,139,152,0.9,BRKG_2016
74,BRKG,2016,120,NA,135,192,1.593,BRKG_2016
76,BRKG,2016,NA,NA,NA,NA,NA,BRKG_2016
83,BRKG,2016,123,217,92,143,0.7556,BRKG_2016
89,BRKG,2016,122,208,36,140,0.444,BRKG_2016
91,BRKG,2016,122,216,33,165,0.273,BRKG_2016
95,BRKG,2016,119,216,196,165,1.267,BRKG_2016
96,BRKG,2016,120,206,60,125,0.221,BRKG_2016
102,BRKG,2016,121,NA,122,174,1.638,BRKG_2016
103,BRKG,2016,121,211,152,165,1.638,BRKG_2016
105,BRKG,2016,122,218,176,180,1.436,BRKG_2016
106,BRKG,2016,120,208,182,174,1.731,BRKG_2016
107,BRKG,2016,120,211,122,189,0.895,BRKG_2016
108,BRKG,2016,122,207,85,134,0.717,BRKG_2016
110,BRKG,2016,117,208,74,168,0.595,BRKG_2016
111,BRKG,2016,120,206,105,137,0.365,BRKG_2016
112,BRKG,2016,117,208,136,168,1.098,BRKG_2016
113,BRKG,2016,122,211,78,174,0.527,BRKG_2016
114,BRKG,2016,NA,NA,NA,NA,NA,BRKG_2016
116,BRKG,2016,120,208,114,171,1.102,BRKG_2016
120,BRKG,2016,120,208,87,152,0.537,BRKG_2016
127,BRKG,2016,123,206,63,152,0.652,BRKG_2016
135,BRKG,2016,120,207,45,104,0.322,BRKG_2016
139,BRKG,2016,NA,NA,NA,NA,NA,BRKG_2016
141,BRKG,2016,123,208,121,143,0.685,BRKG_2016
144,BRKG,2016,NA,NA,NA,NA,NA,BRKG_2016
146,BRKG,2016,121,211,47,146,0.237,BRKG_2016
147,BRKG,2016,120,207,121,165,1.018,BRKG_2016
148,BRKG,2016,120,207,100,171,0.797,BRKG_2016
150,BRKG,2016,121,205,74,143,0.485,BRKG_2016
152,BRKG,2016,NA,NA,NA,NA,NA,BRKG_2016
157,BRKG,2016,120,202,87,146,0.786,BRKG_2016
160,BRKG,2016,123,212,124,143,0.846,BRKG_2016
163,BRKG,2016,122,219,57,131,0.374,BRKG_2016
170,BRKG,2016,118,206,116,155,1.028,BRKG_2016
171,BRKG,2016,121,207,155,149,0.917,BRKG_2016
178,BRKG,2016,116,212,98,158,1.053,BRKG_2016
180,BRKG,2016,121,203,63,155,0.863,BRKG_2016
182,BRKG,2016,117.5,210.5,73,181.5,0.7285,BRKG_2016
184,BRKG,2016,118,206,174,158,1.346,BRKG_2016
211,BRKG,2016,NA,NA,NA,NA,NA,BRKG_2016
213,BRKG,2016,122,199,98,186,0.962,BRKG_2016
214,BRKG,2016,121,NA,49,174,0.561,BRKG_2016
217,BRKG,2016,117,208,143,146,0.972,BRKG_2016
218,BRKG,2016,119.5,216.5,135,184.5,1.286,BRKG_2016
219,BRKG,2016,118,218,28,158,0.349,BRKG_2016
220,BRKG,2016,NA,210,41,140,0.266,BRKG_2016
221,BRKG,2016,123,NA,101,165,1.151,BRKG_2016
226,BRKG,2016,120,211,85,149,0.632,BRKG_2016
229,BRKG,2016,120,210,41,158,0.616,BRKG_2016
230,BRKG,2016,120,206,92.5,158,0.6915,BRKG_2016
232,BRKG,2016,117,208,152,171,1.49,BRKG_2016
235,BRKG,2016,124,207,125,155,1.129,BRKG_2016
238,BRKG,2016,119,219,65,146,0.687,BRKG_2016
240,BRKG,2016,118,203,118,152,1.094,BRKG_2016
256,BRKG,2016,NA,NA,NA,NA,NA,BRKG_2016
263,BRKG,2016,123,NA,197,177,1.508,BRKG_2016
265,BRKG,2016,120,208,125,143,0.871,BRKG_2016
267,BRKG,2016,122,210,75,168,0.78,BRKG_2016
268,BRKG,2016,124,206,10,104,NA,BRKG_2016
285,BRKG,2016,121,NA,172.5,183,1.479,BRKG_2016
302,BRKG,2016,120,207,130,140,0.897,BRKG_2016
303,BRKG,2016,121,218,123,183,1.703,BRKG_2016
304,BRKG,2016,118,206,103,158,0.972,BRKG_2016
305,BRKG,2016,121,207,102,152,0.993,BRKG_2016
306,BRKG,2016,123,207,101,174,1.165,BRKG_2016
308,BRKG,2016,121,207,151,165,1.202,BRKG_2016
311,BRKG,2016,118,210,85,158,NA,BRKG_2016
313,BRKG,2016,121,207,133,161.5,1.0665,BRKG_2016
314,BRKG,2016,121,208,93,140,0.774,BRKG_2016
315,BRKG,2016,120,206,91,177,0.634,BRKG_2016
316,BRKG,2016,120,208,147,143,1.181,BRKG_2016
318,BRKG,2016,118,207,167,174,1.128,BRKG_2016
319,BRKG,2016,121,206,97,162,0.921,BRKG_2016
